harmonized_anatomic_site_term_id	harmonized_anatomic_site_term_name	harmonized_anatomic_site_term_count_in_last_CDA_release	slim_anatomic_site_term_id	slim_anatomic_site_term_name	slim_anatomic_site_term_count_in_last_CDA_release
CL:0000542	lymphocyte	375	UBERON:0002465	lymphoid system	17129
UBERON:0000002	uterine cervix	86041	UBERON:0000474	female reproductive system	1079788
UBERON:0000004	nose	5	UBERON:0000033	head	9095
UBERON:0000007	pituitary gland	443	UBERON:0000955	brain	227713
UBERON:0000026	appendage	2217	UBERON:0002101	limb	8664
UBERON:0000029	lymph node	13789	UBERON:0002465	lymphoid system	17129
UBERON:0000033	head	5147	UBERON:0000033	head	9095
UBERON:0000056	ureter	46	UBERON:0001008	renal system	277558
UBERON:0000057	urethra	110	UBERON:0001008	renal system	277558
UBERON:0000059	large intestine	26	UBERON:0004907	lower digestive tract	485329
UBERON:0000079	male reproductive system	17	UBERON:0000079	male reproductive system	156064
UBERON:0000159	anal canal	35	UBERON:0004907	lower digestive tract	485329
UBERON:0000160	intestine	128	UBERON:0004908	upper digestive tract	281598
UBERON:0000165	mouth	10818	UBERON:0000165	mouth	51610
UBERON:0000175	pleural effusion	3	UBERON:0002100	trunk	2004026
UBERON:0000178	blood	268513	UBERON:0002390	hematopoietic system	390026
UBERON:0000180	lateral lumbar region of abdomen	18	UBERON:0002100	trunk	2004026
UBERON:0000310	breast	675721	UBERON:0000310	breast	676951
UBERON:0000362	renal medulla	49	UBERON:0001008	renal system	277558
UBERON:0000376	hindlimb stylopod	1363	UBERON:0002101	limb	8664
UBERON:0000388	epiglottis	1			1154
UBERON:0000391	leptomeninx	35	UBERON:0001017	central nervous system	106601
UBERON:0000403	scalp	280	UBERON:0000033	head	9095
UBERON:0000458	endocervix	56	UBERON:0000474	female reproductive system	1079788
UBERON:0000473	testis	7105	UBERON:0000079	male reproductive system	156064
UBERON:0000474	female reproductive system	17	UBERON:0000474	female reproductive system	1079788
UBERON:0000915	thoracic segment of trunk	1027	UBERON:0002100	trunk	2004026
UBERON:0000916	abdomen	27733	UBERON:0002100	trunk	2004026
UBERON:0000945	stomach	213337	UBERON:0004908	upper digestive tract	281598
UBERON:0000947	aorta	847	UBERON:0004535	cardiovascular system	4051
UBERON:0000948	heart	915	UBERON:0004535	cardiovascular system	4051
UBERON:0000955	brain	210860	UBERON:0000955	brain	227713
UBERON:0000956	cerebral cortex	522	UBERON:0000955	brain	227713
UBERON:0000966	retina	44	UBERON:0000970	eye	3254
UBERON:0000970	eye	1170	UBERON:0000970	eye	3254
UBERON:0000974	neck	870	UBERON:0000033	head	9095
UBERON:0000976	humerus	488	UBERON:0001434	skeletal system	28186
UBERON:0000977	pleura	1816	UBERON:0002100	trunk	2004026
UBERON:0000978	leg	1029	UBERON:0002101	limb	8664
UBERON:0000979	tibia	754	UBERON:0001434	skeletal system	28186
UBERON:0000981	femur	605	UBERON:0001434	skeletal system	28186
UBERON:0000989	penis	31	UBERON:0000079	male reproductive system	156064
UBERON:0000992	ovary	84040	UBERON:0000474	female reproductive system	1079788
UBERON:0000995	uterus	274599	UBERON:0000474	female reproductive system	1079788
UBERON:0000996	vagina	639	UBERON:0000474	female reproductive system	1079788
UBERON:0000997	mammalian vulva	104	UBERON:0000474	female reproductive system	1079788
UBERON:0001004	respiratory system	244	UBERON:0001004	respiratory system	247
UBERON:0001007	digestive system	56	UBERON:0001007	digestive system	56
UBERON:0001008	renal system	376	UBERON:0001008	renal system	277558
UBERON:0001013	adipose tissue	969	UBERON:0002384	connective tissue	1139
UBERON:0001016	nervous system	1991	UBERON:0001016	nervous system	3013
UBERON:0001017	central nervous system	106002	UBERON:0001017	central nervous system	106601
UBERON:0001043	esophagus	42172	UBERON:0004908	upper digestive tract	281598
UBERON:0001051	hypopharynx	1894	UBERON:0004908	upper digestive tract	281598
UBERON:0001052	rectum	59751	UBERON:0004907	lower digestive tract	485329
