harmonized_disease_term_id	harmonized_disease_term_name	harmonized_disease_term_count_in_last_CDA_release	slim_disease_term_id	slim_disease_term_name	slim_disease_term_count_in_last_CDA_release
8000/0	Neoplasm, benign	30		Neoplasms	280451
8000/1	Neoplasm, uncertain whether benign or malignant	30861		Neoplasms	280451
8000/3	Neoplasm, malignant	249320		Neoplasms	280451
8000/6	Neoplasm, metastatic	18		Neoplasms	280451
8000/9	Neoplasm, malignant, uncertain whether primary or metastatic	7			22
8001/0	Tumor cells, benign	5		Neoplasms	280451
8001/1	Tumor cells, uncertain whether benign or malignant	50		Neoplasms	280451
8001/3	Tumor cells, malignant	20		Neoplasms	280451
8002/3	Malignant tumor, small cell type	4		Neoplasms	280451
8004/3	Malignant tumor, spindle cell type	20		Neoplasms	280451
8010/0	Epithelial tumor, benign	123		Epithelial neoplasms	29707
8010/0	Epithelial tumor, benign	123		Neoplasms	280451
8010/2	Carcinoma in situ, NOS	15		Epithelial neoplasms	29707
8010/3	Carcinoma, NOS	6070		Epithelial neoplasms	29707
8010/6	Carcinoma, metastatic, NOS	19		Epithelial neoplasms	29707
8010/9	Carcinomatosis	1			22
8012/3	Large cell carcinoma, NOS	49		Epithelial neoplasms	29707
8013/3	Large cell neuroendocrine carcinoma	184		Epithelial neoplasms	29707
8015/3	Glassy cell carcinoma	2		Epithelial neoplasms	29707
8020/3	Carcinoma, undifferentiated, NOS	121		Epithelial neoplasms	29707
8020/6	Metastatic carcinoma	3		Epithelial neoplasms	29707
8021/3	Carcinoma, anaplastic, NOS	59		Epithelial neoplasms	29707
8022/3	Pleomorphic carcinoma	19		Epithelial neoplasms	29707
8023/3	Nuclear protein in testis (NUT) associated carcinoma	0		Epithelial neoplasms	29707
8031/3	Giant cell carcinoma	0		Epithelial neoplasms	29707
8032/3	Spindle cell carcinoma, NOS	22		Epithelial neoplasms	29707
8033/3	Pseudosarcomatous carcinoma	98		Epithelial neoplasms	29707
8035/3	Carcinoma with osteoclast-like giant cells	2		Epithelial neoplasms	29707
8041/3	Small cell carcinoma, NOS	523		Epithelial neoplasms	29707
8041/6	Metastatic small cell carcinoma	2		Epithelial neoplasms	29707
8042/3	Oat cell carcinoma	0		Epithelial neoplasms	29707
8045/3	Combined small cell carcinoma	20		Epithelial neoplasms	29707
8046/3	Non-small cell carcinoma	22376		Epithelial neoplasms	29707
805-808	Squamous cell neoplasms	189		Squamous cell neoplasms	19269
8050/0	Papilloma, NOS	0		Squamous cell neoplasms	19269
8050/3	Papillary carcinoma, NOS	323		Squamous cell neoplasms	19269
8051/3	Verrucous carcinoma, NOS	5		Squamous cell neoplasms	19269
8052/3	Papillary squamous cell carcinoma	21		Squamous cell neoplasms	19269
8070/2	Squamous cell carcinoma in situ, NOS	8		Squamous cell neoplasms	19269
8070/3	Squamous cell carcinoma, NOS	17556		Squamous cell neoplasms	19269
8070/6	Squamous cell carcinoma, metastatic, NOS	49		Squamous cell neoplasms	19269
8071/3	Squamous cell carcinoma, keratinizing, NOS	489		Squamous cell neoplasms	19269
8072/3	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	485		Squamous cell neoplasms	19269
8073/3	Squamous cell carcinoma, small cell, nonkeratinizing	3		Squamous cell neoplasms	19269
8074/3	Squamous cell carcinoma, spindle cell	3		Squamous cell neoplasms	19269
8075/3	Squamous cell carcinoma, adenoid	1		Squamous cell neoplasms	19269
8082/3	Lymphoepithelial carcinoma	9		Squamous cell neoplasms	19269
8083/3	Basaloid squamous cell carcinoma	120		Squamous cell neoplasms	19269
8084/3	Squamous cell carcinoma, clear cell type	8		Squamous cell neoplasms	19269
809-811	Basal cell neoplasms	0		Basal cell neoplasms	214
8090/3	Basal cell carcinoma, NOS	210		Basal cell neoplasms	214
8097/3	Basal cell carcinoma, nodular	2		Basal cell neoplasms	214
8098/3	Adenoid basal carcinoma	2		Basal cell neoplasms	214
812-813	Transitional cell papillomas and carcinomas	104		Transitional cell papillomas and carcinomas	8274
8120/2	Urothelial carcinoma in situ	2		Transitional cell papillomas and carcinomas	8274
8120/3	Transitional cell carcinoma, NOS	7798		Transitional cell papillomas and carcinomas	8274
8121/1	Sinonasal papilloma, inverted	2		Transitional cell papillomas and carcinomas	8274
8121/3	Schneiderian carcinoma	0		Transitional cell papillomas and carcinomas	8274
8123/3	Basaloid carcinoma	10		Transitional cell papillomas and carcinomas	8274
8130/2	Papillary urothelial carcinoma, non-invasive	72		Transitional cell papillomas and carcinomas	8274
8130/3	Papillary transitional cell carcinoma	286		Transitional cell papillomas and carcinomas	8274
8140/0	Adenoma, NOS	667		Adenomas and adenocarcinomas	97819
8140/1	Atypical adenoma	0		Adenomas and adenocarcinomas	97819
8140/2	Adenocarcinoma in situ, NOS	14		Adenomas and adenocarcinomas	97819
8140/3	Adenocarcinoma, NOS	40245		Adenomas and adenocarcinomas	97819
8140/6	Adenocarcinoma, metastatic, NOS	411		Adenomas and adenocarcinomas	97819
8144/3	Adenocarcinoma, intestinal type	4908		Adenomas and adenocarcinomas	97819
8145/3	Carcinoma, diffuse type	376		Adenomas and adenocarcinomas	97819
8147/3	Basal cell adenocarcinoma	0		Adenomas and adenocarcinomas	97819
8148/0	Glandular intraepithelial neoplasia, low grade	2			22
8150/1	Pancreatic endocrine tumor, NOS	0		Adenomas and adenocarcinomas	97819
8150/3	Pancreatic neuroendocrine tumor, nonfunctioning	154		Adenomas and adenocarcinomas	97819
8155/3	Vipoma, NOS	1			22
8160/3	Cholangiocarcinoma	1050		Adenomas and adenocarcinomas	97819
8163/3	Pancreatobiliary type carcinoma	0		Adenomas and adenocarcinomas	97819
8170/3	Hepatocellular carcinoma, NOS	9543		Adenomas and adenocarcinomas	97819
8171/3	Hepatocellular carcinoma, fibrolamellar	18		Adenomas and adenocarcinomas	97819
8173/3	Hepatocellular carcinoma, spindle cell variant	5		Adenomas and adenocarcinomas	97819
8174/3	Hepatocellular carcinoma, clear cell type	20		Adenomas and adenocarcinomas	97819
8180/3	Combined hepatocellular carcinoma and cholangiocarcinoma	33		Adenomas and adenocarcinomas	97819
8190/3	Trabecular adenocarcinoma	1		Adenomas and adenocarcinomas	97819
8200/3	Adenoid cystic carcinoma	331		Adenomas and adenocarcinomas	97819
8201/3	Cribriform carcinoma, NOS	3		Adenomas and adenocarcinomas	97819
8210/0	Adenomatous polyp, NOS	30		Adenomas and adenocarcinomas	97819
8210/2	Adenocarcinoma in situ in adenomatous polyp	0		Adenomas and adenocarcinomas	97819
8211/0	Tubular adenoma, NOS	2		Adenomas and adenocarcinomas	97819
8211/3	Tubular adenocarcinoma	318		Adenomas and adenocarcinomas	97819
8211/6	Metastatic Tubular adenocarcinoma	2		Adenomas and adenocarcinomas	97819
8213/0	Serrated adenoma, NOS	4		Adenomas and adenocarcinomas	97819
8215/3	Adenocarcinoma of anal glands	0		Adenomas and adenocarcinomas	97819
8220/0	Adenomatous polyposis coli	0		Adenomas and adenocarcinomas	97819
8220/3	Adenocarcinoma in adenomatous polyposis coli	5		Adenomas and adenocarcinomas	97819
8230/3	Solid carcinoma, NOS	163		Adenomas and adenocarcinomas	97819
8240/3	Neuroendocrine tumor, NOS	261		Adenomas and adenocarcinomas	97819
8243/3	Goblet cell carcinoid	0		Adenomas and adenocarcinomas	97819
8244/3	Mixed adenoneuroendocrine carcinoma	1			22
