unharmonized value	harmonized value
3d manufacturing modeling system	__CDA_UNASSIGNED__
affymetrix genechip analysis file	__CDA_UNASSIGNED__
alternate processing pipeline	__CDA_UNASSIGNED__
amplicon	__CDA_UNASSIGNED__
annotation	__CDA_UNASSIGNED__
archer fusion	__CDA_UNASSIGNED__
atac-seq	__CDA_UNASSIGNED__
biospecimen	__CDA_UNASSIGNED__
bisulfite-seq	__CDA_UNASSIGNED__
bulk rna-seq	__CDA_UNASSIGNED__
combined nucleotide variation	__CDA_UNASSIGNED__
computed radiography	__CDA_UNASSIGNED__
computed tomography	__CDA_UNASSIGNED__
copy number variation	__CDA_UNASSIGNED__
digital radiography	__CDA_UNASSIGNED__
dna methylation	__CDA_UNASSIGNED__
dna methylation analysis file	__CDA_UNASSIGNED__
external-camera photography	__CDA_UNASSIGNED__
index file	__CDA_UNASSIGNED__
key object selection	__CDA_UNASSIGNED__
magnetic resonance	__CDA_UNASSIGNED__
mammography	__CDA_UNASSIGNED__
mirna-seq	__CDA_UNASSIGNED__
nuclear medicine	__CDA_UNASSIGNED__
other metadata	__CDA_UNASSIGNED__
other modality	__CDA_UNASSIGNED__
pathology report	__CDA_UNASSIGNED__
peptide spectral matches	__CDA_UNASSIGNED__
positron emission tomography	__CDA_UNASSIGNED__
presentation state	__CDA_UNASSIGNED__
processed mass spectra	__CDA_UNASSIGNED__
protein assembly	__CDA_UNASSIGNED__
proteome profiling	__CDA_UNASSIGNED__
publication supplementary material	__CDA_UNASSIGNED__
quality metrics	__CDA_UNASSIGNED__
radiofluoroscopy	__CDA_UNASSIGNED__
radiotherapy dose	__CDA_UNASSIGNED__
radiotherapy plan	__CDA_UNASSIGNED__
radiotherapy structure set	__CDA_UNASSIGNED__
raw mass spectra	__CDA_UNASSIGNED__
raw sequencing data	__CDA_UNASSIGNED__
real world value map	__CDA_UNASSIGNED__
registration	__CDA_UNASSIGNED__
rna sequence file	__CDA_UNASSIGNED__
rna-seq	__CDA_UNASSIGNED__
rt dose	__CDA_UNASSIGNED__
rt plan	__CDA_UNASSIGNED__
rt structure set	__CDA_UNASSIGNED__
scatac sequence file	__CDA_UNASSIGNED__
sch5 matrix file	__CDA_UNASSIGNED__
scrna sequence file	__CDA_UNASSIGNED__
scrna-seq	__CDA_UNASSIGNED__
segmentation	__CDA_UNASSIGNED__
sequencing reads	__CDA_UNASSIGNED__
simple nucleotide variation	__CDA_UNASSIGNED__
skyline document	__CDA_UNASSIGNED__
slide microscopy	__CDA_UNASSIGNED__
snatac-seq	__CDA_UNASSIGNED__
somatic structural variation	__CDA_UNASSIGNED__
spectral library	__CDA_UNASSIGNED__
structural variation	__CDA_UNASSIGNED__
structured report document	__CDA_UNASSIGNED__
study protocol	__CDA_UNASSIGNED__
supplemental data file	__CDA_UNASSIGNED__
supplementary data	__CDA_UNASSIGNED__
targeted-capture	__CDA_UNASSIGNED__
transcriptome profiling	__CDA_UNASSIGNED__
ultrasound	__CDA_UNASSIGNED__
variant call file	__CDA_UNASSIGNED__
wga	__CDA_UNASSIGNED__
wgs	__CDA_UNASSIGNED__
whole exome sequence file	__CDA_UNASSIGNED__
whole genome sequence file	__CDA_UNASSIGNED__
wxs	__CDA_UNASSIGNED__
x-ray angiography	__CDA_UNASSIGNED__
