unharmonized value	icd_o_3_code	icd_o_3_preferred_name	do_id	do_name	ncit_concept_codes
2/1/01 0:00	null	null	null	null	null
3/1/00 0:00	null	null	null	null	null
3/1/01 0:00	null	null	null	null	null
3/1/10 0:00	null	null	null	null	null
3/1/13 0:00	null	null	null	null	null
3/1/20 0:00	null	null	null	null	null
3/1/22 0:00	null	null	null	null	null
3/1/23 0:00	null	null	null	null	null
3/1/30 0:00	null	null	null	null	null
3/1/40 0:00	null	null	null	null	null
3/1/41 0:00	null	null	null	null	null
3/1/50 0:00	null	null	null	null	null
3/1/60 0:00	null	null	null	null	null
3/1/61 0:00	null	null	null	null	null
3/1/70 0:00	null	null	null	null	null
3/1/74 0:00	null	null	null	null	null
3/1/80 0:00	null	null	null	null	null
3/1/91 0:00	null	null	null	null	null
4th ventricular brain tumor	8000/1	Neoplasm, uncertain whether benign or malignant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8000/0	8000/0	Neoplasm, benign	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8000/0 : neoplasm, benign	8000/0	Neoplasm, benign	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8000/1	8000/1	Neoplasm, uncertain whether benign or malignant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8000/1 : neoplasm, uncertain whether benign or malignant	8000/1	Neoplasm, uncertain whether benign or malignant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8000/3	8000/3	Neoplasm, malignant	DOID:162	cancer	C9305
8000/3 : neoplasm, malignant	8000/3	Neoplasm, malignant	DOID:162	cancer	C9305
8000/6	8000/6	Neoplasm, metastatic	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8000/6 : neoplasm, metastatic	8000/6	Neoplasm, metastatic	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8000/9	8000/9	Neoplasm, malignant, uncertain whether primary or metastatic	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8001/0	8001/0	Tumor cells, benign	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8001/1	8001/1	Tumor cells, uncertain whether benign or malignant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8001/3	8001/3	Tumor cells, malignant	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8002/3	8002/3	Malignant tumor, small cell type	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8004/3	8004/3	Malignant tumor, spindle cell type	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8010/0	8010/0	Epithelial tumor, benign	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8010/2	8010/2	Carcinoma in situ, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8010/3	8010/3	Carcinoma, NOS	DOID:305	carcinoma	C2916;C3709
8010/3 : carcinoma, nos	8010/3	Carcinoma, NOS	DOID:305	carcinoma	C2916;C3709
8010/6	8010/6	Carcinoma, metastatic, NOS	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8010/9	8010/9	Carcinomatosis	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
8012/3	8012/3	Large cell carcinoma, NOS	DOID:4552	large cell carcinoma	C3780
8013/3	8013/3	Large cell neuroendocrine carcinoma	DOID:0050872	large cell neuroendocrine carcinoma	__CDA_UNASSIGNED__
8015/3	8015/3	Glassy cell carcinoma	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__	__CDA_UNASSIGNED__
