unharmonized value	harmonized value
01	__CDA_UNASSIGNED__
02	__CDA_UNASSIGNED__
1	null
10	null
102	null
104	null
2	null
2106-3	__CDA_UNASSIGNED__
2131-1	null
3	null
5	null
6	null
7	null
79	null
8	null
96	null
98	null
[1]	null
a	null
american indian	null
anonymous	null
arab or middle e	null
asian	null
b	null
black	null
black or african	null
black+amerindian	__CDA_UNASSIGNED__
c	null
ca	null
caucasi	null
caucasian	null
ethnicgrp11356	null
ethnicgrp1682	null
ethnicgrp1683	null
ethnicgrp1730	null
ethnicgrp3013	null
ethnicgrp3874	null
ethnicgrp5108	null
ethnicgrp5109	null
ethnicgrp6529	null
ethnicgrp867	null
ethnicgrp868	null
ethnicgrp870	null
ethnicgrp871	null
ethnicgrp872	null
ethnicgrp873	null
ethnicgrp875	null
ethnicgrp876	null
ethnicgrp877	null
h	Hispanic or Latino
hispanic	__CDA_UNASSIGNED__
hispanic latino	Hispanic or Latino
hispanic or lati	Hispanic or Latino
hispanic or latino	Hispanic or Latino
hispanic/latino	Hispanic or Latino
hispanic/spanish	Hispanic or Latino
mexican, mexican	Hispanic or Latino
more than one	null
mx amerind hisp	__CDA_UNASSIGNED__
mx amerind white	__CDA_UNASSIGNED__
mx asian black	__CDA_UNASSIGNED__
mx asian hisp	__CDA_UNASSIGNED__
mx asian white	__CDA_UNASSIGNED__
mx black hisp	__CDA_UNASSIGNED__
mx black hisp wh	__CDA_UNASSIGNED__
mx black white	__CDA_UNASSIGNED__
mx hisp white	__CDA_UNASSIGNED__
mx pacific white	__CDA_UNASSIGNED__
n	Non-Hispanic
native hawaiian	null
non hispanic/lat	Non-Hispanic
non-hispanic	Non-Hispanic
non-hispanic [1]	Non-Hispanic
non-hispanic [8]	Non-Hispanic
non-hispanic [9]	Non-Hispanic
non-hispanic non	Non-Hispanic
non-hispanic/non	Non-Hispanic
not hispanic lat	Non-Hispanic
not hispanic or	Non-Hispanic
not hispanic or latino	Non-Hispanic
not hispanic, la	__CDA_UNASSIGNED__
pacific islander	null
patient declined	null
unknown [3]	null
w	null
wh	null
white	null
white+amerindian	__CDA_UNASSIGNED__
white, not hisp.	Non-Hispanic
white-ns	Non-Hispanic
wht	null
wn	null
