unharmonized value	harmonized value
1	__CDA_UNASSIGNED__
2	__CDA_UNASSIGNED__
i	__CDA_UNASSIGNED__
i/ii nos	__CDA_UNASSIGNED__
ia	__CDA_UNASSIGNED__
ib	__CDA_UNASSIGNED__
ii	__CDA_UNASSIGNED__
iia	__CDA_UNASSIGNED__
iib	__CDA_UNASSIGNED__
iii	__CDA_UNASSIGNED__
iiia	__CDA_UNASSIGNED__
iiib	__CDA_UNASSIGNED__
iiic	__CDA_UNASSIGNED__
is	__CDA_UNASSIGNED__
iv	__CDA_UNASSIGNED__
iva	__CDA_UNASSIGNED__
ivb	__CDA_UNASSIGNED__
m0	__CDA_UNASSIGNED__
m1	__CDA_UNASSIGNED__
m1b	__CDA_UNASSIGNED__
m2	__CDA_UNASSIGNED__
m3	__CDA_UNASSIGNED__
not performed	__CDA_UNASSIGNED__
not received	__CDA_UNASSIGNED__
pt1	__CDA_UNASSIGNED__
pt1a	__CDA_UNASSIGNED__
pt1b	__CDA_UNASSIGNED__
pt3a	__CDA_UNASSIGNED__
pt4	__CDA_UNASSIGNED__
stage 0	__CDA_UNASSIGNED__
stage 0a	__CDA_UNASSIGNED__
stage 0is	__CDA_UNASSIGNED__
stage 1	__CDA_UNASSIGNED__
stage 2	__CDA_UNASSIGNED__
stage 3	__CDA_UNASSIGNED__
stage 4	__CDA_UNASSIGNED__
stage i	__CDA_UNASSIGNED__
stage ia	__CDA_UNASSIGNED__
stage ia1	__CDA_UNASSIGNED__
stage ia2	__CDA_UNASSIGNED__
stage ia3	__CDA_UNASSIGNED__
stage ib	__CDA_UNASSIGNED__
stage ib1	__CDA_UNASSIGNED__
stage ib2	__CDA_UNASSIGNED__
stage ic	__CDA_UNASSIGNED__
stage ii	__CDA_UNASSIGNED__
stage iia	__CDA_UNASSIGNED__
stage iia1	__CDA_UNASSIGNED__
stage iia2	__CDA_UNASSIGNED__
stage iib	__CDA_UNASSIGNED__
stage iic	__CDA_UNASSIGNED__
stage iii	__CDA_UNASSIGNED__
stage iiia	__CDA_UNASSIGNED__
stage iiia2	__CDA_UNASSIGNED__
stage iiib	__CDA_UNASSIGNED__
stage iiic	__CDA_UNASSIGNED__
stage iiic1	__CDA_UNASSIGNED__
stage iiic2	__CDA_UNASSIGNED__
stage is	__CDA_UNASSIGNED__
stage iv	__CDA_UNASSIGNED__
stage iva	__CDA_UNASSIGNED__
stage ivb	__CDA_UNASSIGNED__
stage ivc	__CDA_UNASSIGNED__
stage tis	__CDA_UNASSIGNED__
stage x	__CDA_UNASSIGNED__
stage1	__CDA_UNASSIGNED__
stage1a	__CDA_UNASSIGNED__
stage1b	__CDA_UNASSIGNED__
stage2a	__CDA_UNASSIGNED__
stage2b	__CDA_UNASSIGNED__
stage3a	__CDA_UNASSIGNED__
stage3b	__CDA_UNASSIGNED__
stage4	__CDA_UNASSIGNED__
t1n0m0	__CDA_UNASSIGNED__
t2n0m0	__CDA_UNASSIGNED__
t2n0m1	__CDA_UNASSIGNED__
t2n1m0	__CDA_UNASSIGNED__
t2n1m1	__CDA_UNASSIGNED__
t2n2m1	__CDA_UNASSIGNED__
t3n0m0	__CDA_UNASSIGNED__
t3n0m1	__CDA_UNASSIGNED__
t3n1m0	__CDA_UNASSIGNED__
t3n1m1	__CDA_UNASSIGNED__
tisn1m1	__CDA_UNASSIGNED__
v	__CDA_UNASSIGNED__
va	__CDA_UNASSIGNED__
vb	__CDA_UNASSIGNED__
