unharmonized value	harmonized value
2-methoxyestradiol	__CDA_UNASSIGNED__
abemaciclib	__CDA_UNASSIGNED__
abiraterone	__CDA_UNASSIGNED__
acetylcysteine	__CDA_UNASSIGNED__
ae37 peptide/gm-csf vaccine	__CDA_UNASSIGNED__
aee788	__CDA_UNASSIGNED__
afatinib	__CDA_UNASSIGNED__
afatinib dimaleate	__CDA_UNASSIGNED__
akt inhibitor mk2206	__CDA_UNASSIGNED__
aldesleukin	__CDA_UNASSIGNED__
alemtuzumab	__CDA_UNASSIGNED__
altretamine	__CDA_UNASSIGNED__
amatuximab	__CDA_UNASSIGNED__
amifostine	__CDA_UNASSIGNED__
amino acid injection	__CDA_UNASSIGNED__
aminocamptothecin	__CDA_UNASSIGNED__
aminopterin	__CDA_UNASSIGNED__
anastrozole	__CDA_UNASSIGNED__
andecaliximab	__CDA_UNASSIGNED__
anti-dr5 agonistic antibody ds-8273a	__CDA_UNASSIGNED__
anti-egfrviii immunotoxin mr1-1	__CDA_UNASSIGNED__
anti-vegf anticalin prs-050-peg40	__CDA_UNASSIGNED__
antineoplastic vaccine	__CDA_UNASSIGNED__
apitolisib	__CDA_UNASSIGNED__
arsenic trioxide	__CDA_UNASSIGNED__
asparaginase	__CDA_UNASSIGNED__
astuprotimut-r	__CDA_UNASSIGNED__
atezolizumab	__CDA_UNASSIGNED__
aurora kinase/vegfr2 inhibitor cyc116	__CDA_UNASSIGNED__
avelumab	__CDA_UNASSIGNED__
axitinib	__CDA_UNASSIGNED__
azathioprine	__CDA_UNASSIGNED__
banoxantrone	__CDA_UNASSIGNED__
bavituximab	__CDA_UNASSIGNED__
bcg solution	__CDA_UNASSIGNED__
bcg vaccine	__CDA_UNASSIGNED__
belinostat	__CDA_UNASSIGNED__
bendamustine	__CDA_UNASSIGNED__
bevacizumab	__CDA_UNASSIGNED__
bicalutamide	__CDA_UNASSIGNED__
binimetinib	__CDA_UNASSIGNED__
birinapant	__CDA_UNASSIGNED__
bleomycin	__CDA_UNASSIGNED__
bortezomib	__CDA_UNASSIGNED__
braf inhibitor	__CDA_UNASSIGNED__
brafv600/pi3k inhibitor asn003	__CDA_UNASSIGNED__
brentuximab	__CDA_UNASSIGNED__
brivanib	__CDA_UNASSIGNED__
broxuridine	__CDA_UNASSIGNED__
busulfan	__CDA_UNASSIGNED__
cabazitaxel	__CDA_UNASSIGNED__
cabozantinib	__CDA_UNASSIGNED__
cabozantinib s-malate	__CDA_UNASSIGNED__
capecitabine	__CDA_UNASSIGNED__
capmatinib	__CDA_UNASSIGNED__
carboplatin	__CDA_UNASSIGNED__
carboxyamidotriazole	__CDA_UNASSIGNED__
carfilzomib	__CDA_UNASSIGNED__
carmustine	__CDA_UNASSIGNED__
