unharmonized value	harmonized value
24 gray/8 fractions, 3d conformal radiotherapy, helical tomo therapy 6 mv	__CDA_UNASSIGNED__
3d conformal radiation therapy	__CDA_UNASSIGNED__
3d crt of lumbar spine	__CDA_UNASSIGNED__
5/5 fractions to l1-l3 palliative response with resolved back pain	__CDA_UNASSIGNED__
abdominal wound debridement	__CDA_UNASSIGNED__
abdominoperineal resection	__CDA_UNASSIGNED__
abdominoperineal resection with permanent colostomy	__CDA_UNASSIGNED__
ablation or embolization, nos	__CDA_UNASSIGNED__
ablation, cryo	__CDA_UNASSIGNED__
ablation, ethanol injection	__CDA_UNASSIGNED__
ablation, microwave	__CDA_UNASSIGNED__
ablation, nos	__CDA_UNASSIGNED__
ablation, radiofrequency	__CDA_UNASSIGNED__
amputation of 5th digit on rh	__CDA_UNASSIGNED__
ancillary treatment	__CDA_UNASSIGNED__
antiseizure treatment	__CDA_UNASSIGNED__
biopsy	__CDA_UNASSIGNED__
biopsy, excisional	__CDA_UNASSIGNED__
biopsy, incisional	__CDA_UNASSIGNED__
bisphosphonate therapy	__CDA_UNASSIGNED__
brachytherapy, high dose	__CDA_UNASSIGNED__
brachytherapy, low dose	__CDA_UNASSIGNED__
brachytherapy, nos	__CDA_UNASSIGNED__
bronchoscopy, endobronchial ultrasound	__CDA_UNASSIGNED__
bx	__CDA_UNASSIGNED__
castration	__CDA_UNASSIGNED__
chemoembolization	__CDA_UNASSIGNED__
chemotherapy	__CDA_UNASSIGNED__
cholecystectomy	__CDA_UNASSIGNED__
ck brain1 ln	__CDA_UNASSIGNED__
cliterectomy	__CDA_UNASSIGNED__
colon resection and ovary removal	__CDA_UNASSIGNED__
colon sigmoid resection	__CDA_UNASSIGNED__
consolidative radiation to the chest	__CDA_UNASSIGNED__
ct guided rf ablation of liver	__CDA_UNASSIGNED__
cyberknife	__CDA_UNASSIGNED__
cyberknife sbrt	__CDA_UNASSIGNED__
cyberknife stereotactic radiosurgery (srs)	__CDA_UNASSIGNED__
cytoreduction/hipec, bilateral oophorectomy	__CDA_UNASSIGNED__
cytoreductive surgery with hipec	__CDA_UNASSIGNED__
daily radiation treatment to r lung/nodes	__CDA_UNASSIGNED__
degenerative lumbar spinal stenosis (anterior lumbar interbody fusion l4-5, l5-s1)	__CDA_UNASSIGNED__
distal pancreatectomy	__CDA_UNASSIGNED__
electrong beam therapy	__CDA_UNASSIGNED__
entropian	__CDA_UNASSIGNED__
exploratory laparotomy, total abdominal hysterectomy, excision of right ovarian mass, bilateral oophorectomy	__CDA_UNASSIGNED__
external beam radiation	__CDA_UNASSIGNED__
external beam radiation (30 gy in 10 fractions)	__CDA_UNASSIGNED__
external beam radiation - 30 gy in 10 fractions	__CDA_UNASSIGNED__
external beam radiation - delivering 2000 cgy in 5 fractions of 400 cgy to right temple	__CDA_UNASSIGNED__
external beam radiation - to the right lateral ribs	__CDA_UNASSIGNED__
external beam radiation - to the t6-t9 vertebral bodies and rt. paraspinous mass	__CDA_UNASSIGNED__
external beam radiation delivered in 2 fractions to t5-t8.	__CDA_UNASSIGNED__
external beam radiation delivered in 5 fractions to c7-t1.	__CDA_UNASSIGNED__
external beam radiation delivering 2000 cgy to l5-s1, t5, and t11 in 5 fractions of 400 cgy.	__CDA_UNASSIGNED__
external beam radiation therapy	__CDA_UNASSIGNED__
external beam radiation to the right sacrum (3000 cgy in 10 fractions)	__CDA_UNASSIGNED__
gastropexy	__CDA_UNASSIGNED__
hemicolectomy	__CDA_UNASSIGNED__
hepatectomy	__CDA_UNASSIGNED__
high dose radiation	__CDA_UNASSIGNED__
hormone therapy	__CDA_UNASSIGNED__
hysterectomy, nos	__CDA_UNASSIGNED__
i-131 radiation therapy	__CDA_UNASSIGNED__
igrt	__CDA_UNASSIGNED__
immunotherapy (including vaccines)	__CDA_UNASSIGNED__
imrt	__CDA_UNASSIGNED__
ir kyphoplasty	__CDA_UNASSIGNED__
isolated limb perfusion (ilp)	__CDA_UNASSIGNED__
kyphoplasty with biopsy at t9 & t10	__CDA_UNASSIGNED__
laparoscopic assisted right colectomy	__CDA_UNASSIGNED__
laparoscopic diverting ostomy	__CDA_UNASSIGNED__
laparoscopic mobilization o fleft colon and splenic flexure, open rectosigmoid resection with anastamosis	__CDA_UNASSIGNED__
laparoscopic, hand assisted low anterior resection with end descending colostomy and laparoscopic complete mobilization of the splenic flexure	__CDA_UNASSIGNED__
lasix	__CDA_UNASSIGNED__
left axillary lymph node dissection and resection of left chest wall mass	__CDA_UNASSIGNED__
left lung wedge resection	__CDA_UNASSIGNED__
left neck dissection	__CDA_UNASSIGNED__
left temporal craniotomy for tumor resection	__CDA_UNASSIGNED__
left vats	__CDA_UNASSIGNED__
liver resection	__CDA_UNASSIGNED__
ln excision	__CDA_UNASSIGNED__
ln removal	__CDA_UNASSIGNED__
low dose radiation	__CDA_UNASSIGNED__
lumbar puncture	__CDA_UNASSIGNED__
lutetium lu 177 vipivotide tetraxetan	__CDA_UNASSIGNED__
lymph node biopsy	__CDA_UNASSIGNED__
lymph node dissection	__CDA_UNASSIGNED__
mct removal	__CDA_UNASSIGNED__
myxocarcoma removal	__CDA_UNASSIGNED__
neuter	__CDA_UNASSIGNED__
non-targeted drug therapy	__CDA_UNASSIGNED__
ohe + vulvoplasty	__CDA_UNASSIGNED__
open biopsy of the right femur with prophylactic intramedullary nailing	__CDA_UNASSIGNED__
open partial hepatectomy	__CDA_UNASSIGNED__
open reduction and internal fixation (orif) of the left proximal humerus fracture and curettage and cementing of left proximal humerus	__CDA_UNASSIGNED__
open reduction and internal fixation (orif) of the right proximal humerus fracture and curettage and cementing of right proximal humerus	__CDA_UNASSIGNED__
organ transplantation	__CDA_UNASSIGNED__
palliative external beam radiation to right 6th rib	__CDA_UNASSIGNED__
palliative radiation therapy to l2-l4, 2000 cgy in 10 fractions	__CDA_UNASSIGNED__
palliative radiation therapy to t6-t10, 2000 cgy in 10 fractions	__CDA_UNASSIGNED__
palliative radiation therapy to the c spine	__CDA_UNASSIGNED__
palliative radiation therapy to the right humerus	__CDA_UNASSIGNED__
palliative radiation therapy to the t5 and t8 region (2000 cgy in 5 fractions)	__CDA_UNASSIGNED__
palliative radiation to the c5 clivus & lt humerus	__CDA_UNASSIGNED__
palliative radiation to the left posterior scalp	__CDA_UNASSIGNED__
palliative radiation to the left ribs	__CDA_UNASSIGNED__
palliative radiation to the pelvic mass	__CDA_UNASSIGNED__
palliative radiation to the right lung	__CDA_UNASSIGNED__
palliative radiation to the right sternum	__CDA_UNASSIGNED__
palliative radiotherapy	__CDA_UNASSIGNED__
palliative radiotherapy - 2000 cgy in 5 fractions	__CDA_UNASSIGNED__
palliative radiotherapy - 3d conformal radiotherapy 18 mv beam energy - 3000 cgy in 10 fractions to rt. lateral rib	__CDA_UNASSIGNED__
palliative radiotherapy to l3 lumbar lesion region - l2-l4; 2500 in 10 fractions	__CDA_UNASSIGNED__
palliative radiotherapy to the thoracic spine	__CDA_UNASSIGNED__
parietal brain resection, left. parietal craniotomy, left.	__CDA_UNASSIGNED__
partial colectomy	__CDA_UNASSIGNED__
partial resection of colon	__CDA_UNASSIGNED__
peptide receptor radionuclide therapy (prrt)	__CDA_UNASSIGNED__
pharmaceutical therapy, nos	__CDA_UNASSIGNED__
pleurodesis, nos	__CDA_UNASSIGNED__
port placement, laparoscopic loop colostomy and mobilization of the splenic flexure	__CDA_UNASSIGNED__
postoperative radiotherapy to the thoracic spine - 2500 in 10 fractions (t6-t10)	__CDA_UNASSIGNED__
prophylactic cranial radiation	__CDA_UNASSIGNED__
radiation	__CDA_UNASSIGNED__
radiation therapy to cervical spine	__CDA_UNASSIGNED__
radiation therapy, nos	__CDA_UNASSIGNED__
radiation to the brain	__CDA_UNASSIGNED__
radiation treatment	__CDA_UNASSIGNED__
radiation, 2d conventional	__CDA_UNASSIGNED__
radiation, 3d conformal	__CDA_UNASSIGNED__
radiation, combination	__CDA_UNASSIGNED__
radiation, cyberknife	__CDA_UNASSIGNED__
radiation, external beam	__CDA_UNASSIGNED__
radiation, implants	__CDA_UNASSIGNED__
radiation, intensity-modulated radiotherapy	__CDA_UNASSIGNED__
radiation, internal	__CDA_UNASSIGNED__
radiation, mixed photon beam	__CDA_UNASSIGNED__
